,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
00X|0XX|X0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000| XX|X  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0  |0 X|0XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX0|  X|000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 XX|0XX|0 0,6.7232,-2.322592,0.0,-1.3006656000000003,-0.7225920000000001,-1.0728,0.0,0.0,0.0
00 |0X | XX,-2.4932536832,-1.9550136832,8.926258176000001,-2.018767104,0.0,-1.28,0.0,-0.7537807872000003,0.0
X00| X | X0,-2.0,-2.0,-2.0,3.5903567360000004,-1.3178322201600001,0.0,0.0,-2.372097996288,-3.5532144
00X| XX| X0,-7.880798,-6.831200000000001,-9.5820464,-7.9028480000000005,-9.4332764,-11.0025308,-6.7232,-7.954400000000001,-7.880798
00 |0X |XXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0 0|XXX| 0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  0|XX |X0 ,-2.6788134085663966,-2.6875136,-5.824098799616001,-2.0,-2.0,0.22597263359999964,-3.3868656,0.0,0.0
00X|XXX| 00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 00|X  |XX ,9.450244186112,-2.0,-1.62,0.0,-3.6,-2.53824,-2.0,0.0,0.0
X0X|0X |0  ,-4.880000000000001,-2.0,-2.0,-3.6,-2.0,-2.88,-4.880000000000001,-2.0,1.5015411200000002
X0X|0X0|0 X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  X| X0|0  ,3.1902155204776186,0.0,0.0,1.12176,0.0,-4.6060820516044805,0.0,0.0532732032,0.0
X 0| X0|X0 ,-2.0,-2.0,0.0,0.0,0.0,-2.0,-2.3688000000000002,0.0,6.7232
 X0|   |X0X,-0.7019184004713661,-3.6,-3.6,-0.2670336,-0.399997810688,-0.8634816,-4.964837888,-6.7232,-3.64262688
XX |00X|0 X,-2.0967944704,-1.9550136832,8.65782272,-1.07653248,-0.49845887999999994,-0.41876710400000017,-0.7225920000000001,-2.0,0.0
0X |XX0|0  ,-3.6,-3.6,-2.0,-3.6,-2.0,-4.880000000000001,-2.0,0.0,0.0
0X0|0X |0 X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00 |X X|0 X,-2.0,-2.0,9.450244186112,-2.0,0.23314969303121913,0.0,0.0,-4.880000000000001,-2.9160000000000004
 0X|X0X|X00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X 0|X 0|0XX,-2.0,-2.0,-2.916,-2.0,3.6,-3.6,-2.0,-5.524000000000001,-1.316
X 0|X00|  X,-2.0,1.6449863168,-0.1668503069687809,-0.1668503069687809,-2.84326982656,-0.36404725137342486,9.884707849539316,-2.0,-0.317043129286001
X 0|X00|X0X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 0 |XXX| 00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0X|XX | 00,-1.3707142057983999,-0.23056700579839992,-0.8782399999999999,0.0,-2.09845888,0.0,9.31280523264,0.0,-1.124434741248
0X0|  0|XX0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
